SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 bmuta,16,128,122,361231,509115,773789,134,16636,351569,733472,12963.6831,,,
,,,,,,,,,,,,,,
 bmuta,16,128,95,361231,454002,520508,123,16636,322812,727883,77579.2973,,,
,,,,,,,,,,,,32,16,80
 bmuta,= 16,= 128,123,361231,494199,697965,125,16636,324900,733477,90464.9799

 bmuta,= 16,= 128,103,361231,459506,531719,124,16636,322408,722844,67080.43

 bmuta,= 16,= 128,115,361231,485518,678873,126,16636,326111,728208,13494.0865

 bmuta,= 16,= 128,122,361231,493687,697759,127,16636,328136,720840,13322.4854

 bmuta,= 16,= 128,121,361231,491948,695860,127,16636,329179,727293,58687.5762

 bmuta,= 16,= 128,98,361231,455977,524949,125,16636,327252,723708,68702.8404

 bmuta,= 16,= 128,101,361231,462246,534931,119,16636,312336,724019,67985.2358

 bmuta,= 16,= 128,103,361231,459454,530492,128,16636,332347,730588,104380.2691

 bmuta,= 16,= 128,120,361231,503658,757280,126,16636,326311,722462,15849.7016

 bmuta,= 16,= 128,101,361231,458390,529208,126,16636,327869,728027,57564.369

 bmuta,= 16,= 128,119,361231,488498,692122,126,16636,326317,731998,68890.0416

 bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 16,= 32,26,301740,438651,720084,28,10126,321077,658939,16629.7066

 bmuta,= 16,= 64,57,364084,553224,724760,57,6509,492763,719861,15428.4989

 bmuta,= 32,= 32,32,282087,311909,334049,32,2581,187957,326956,14414.4924

 bmuta,= 32,= 64,64,156475,252201,362940,64,22110,220907,348121,14133.6906

 bmuta,= 16,= 128,120,66743,339478,734917,121,16636,319659,728265,17721.7136

 bmuta,= 16,= 256,236,116924,446042,746163,237,1134,430633,751610,114629.5348

 bmuta,= 16,= 128,127,66743,354358,735579,128,16636,337004,733244,13915.2892

 bmuta,= 16,= 128,122,66743,346849,733066,123,16636,324543,730580,14960.4959

 bmuta,= 32,= 256,255,4495,183950,378965,255,825,175495,376926,17768.5139

 bmuta,= 32,= 2048,1939,823,333281,517268,1986,0,334724,517167,308039.5746

 bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 128,= 2096,2096,86941,151084,213653,2096,0,41847,89680,36675.8351

